id_respuesta,Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Cuál es su título en la empresa?,¿Se considera usted fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingeniería?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,¿En qué otros lenguajes de programación ocupa su tiempo laboral?,Tipo de relación laboral,Su modo de trabajo es: (ignorando el cambio por covid-19),Usted prefiere:,¿Tiene titulo universitario o técnico?,¿Estudió alguna carrera de PRE-grado relacionada a ingeniería de sistemas?,¿Estudió alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿Ha estudiado en algún bootcamp de programación?,"¿Si ha estudiado en un bootcamp de programación, en cuál? (ingrese el url del bootcamp)",¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,"¿Usando la moneda de la respuesta anterior, cuánto es su remuneración ANUAL base?  eg 36,000,000 si es pesos o 3,600 si es dólares",¿Cuánto es su remuneración ANUAL adicional (usando la moneda que respondio anteriormente)?,¿Cuánto era la remuneración base ANUAL de su trabajo/rol anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,¿Tiene acciones (opciones/stock options/rsus) o dividendos de su empresa como parte de su compensación?,"¿Si tiene acciones, cuántas tiene en total?","¿Si tiene acciones, cuál es el precio de emisión por acción en USD? (use $3,750 como tasa de cambio si es necesario)",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿En qué sitio web busca oportunidades laborales principalmente?,¿En que ciudad de Colombia vive?,¿Cuál es su país de procedencia?,¿En qué año nació?,¿Cuantos hijos tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantas horas trabaja por semana?,titulo_en_empresa_v2,tipo_relacion_laboral_v2,url_bootcamp_v2,precio_emision_accion_v2,acciones_total_v2,ingresos_freelance_ultimo_anio_v2,sitio_buscar_trabajo_v2,ciudad_v2,pais_v2,anio_nacimiento_v2,horas_trabajo_semana_v2,remuneracion_anual_v2,remuneracion_mensual_usd
1,6/17/2020 16:23:44,empresa Colombiana con mercado latinoamericano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",menos de 1,Lider técnico,no,40 - 50%,30 - 40%,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,JavaScript,HTML / CSS,contrato a termino indefinido,remoto (en casa o en un cafe),trabajo remoto,técnico,si,no,no,bachiller,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,32.3,0,0,mi empleador,mi empleador,no,NULL,NULL,si,1000,no,https://linkedin.com,Duitama,Colombia,1997,0,él (tradicionalmente se identifica como hombre),no,NULL,Lead,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Duitama,Colombia,[21-25],NULL,0,0
2,6/17/2020 16:27:36,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,Frontend software engineer,no,80 - 90%,0 - 10%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,JavaScript,HTML / CSS,contratista internacional,remoto (en casa o en un cafe),trabajo remoto,técnico,no,no,no,bachiller,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),dólares,290000000,0,84000000,mi empleador,yo,si - stock options,NULL,NULL,no,0,si,https://twitter.com/,Medellín,Colombia,1993,0,él (tradicionalmente se identifica como hombre),no,NULL,Frontend Developer,Contratista,NULL,NULL,NULL,[0-1000],Twitter.com,Medellín,Colombia,[26-30],NULL,290000000,24166666
3,6/17/2020 16:30:30,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,Full stack software developer,no,70 - 80%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,JavaScript,HTML / CSS,contratista internacional,remoto (en casa o en un cafe),trabajo remoto,universitario,si,si,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),dólares,72000,0,38400,yo,yo,no,NULL,NULL,no,0,si,https://colombia-dev.slack.com,Armenia,Colombia,1987,0,él (tradicionalmente se identifica como hombre),no,NULL,FullStack Developer,Contratista,NULL,NULL,NULL,[0-1000],Colombia-dev.slack.com,Armenia,Colombia,[31-35],NULL,72000,6000
4,6/17/2020 16:30:41,empresa Colombiana con mercado global,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Frontend Engineer,no,80 - 90%,10 - 20%,50 - 60%,20 - 30%,5 - 10 años,5 - 10 años,JavaScript,"JavaScript, HTML / CSS, TypeScript, Rust, Swift, WebAssembly",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (tenia oficina, pero podia trabajar desde casa cuando quisiera)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,72000000,12000000,31200000,mi empleador,mi empleador,no,NULL,NULL,si,0,no,https://linkedin.com,Medellin,Colombia,1986,0,él (tradicionalmente se identifica como hombre),no,NULL,Frontend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[31-35],NULL,19200,1600
5,6/17/2020 16:33:14,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,5 - 10,Frontend Developer,no,70 - 80%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,NULL,"HTML / CSS, TypeScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,NULL,trabajo flexible,universitario,no,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,43200000,0,24000000,mi empleador,mi empleador,no,NULL,NULL,no,3000000,si,https://www.linkedin.com/,Barranquilla,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,NULL,Frontend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Barranquilla,Colombia,[26-30],NULL,11520,960
6,6/17/2020 16:34:06,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,[redactado],no,90 - 100%,no tengo responsabilidades de este tipo,30 - 40%,20 - 30%,2+ años,5 - 10 años,Elixir,"JavaScript, Ruby, TypeScript, Elixir",contratista internacional,remoto (en casa o en un cafe),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,64800,3120,0,yo,yo,no,NULL,NULL,si,0,no,https://twitter.com,Medellín,Colombia,1992,0,él (tradicionalmente se identifica como hombre),no,NULL,Developer,Contratista,NULL,NULL,NULL,[0-1000],Twitter.com,Medellín,Colombia,[26-30],NULL,64800,5400
7,6/17/2020 16:37:18,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,2 - 5,Full Stack JS Senior Developer,si,70 - 80%,20 - 30%,20 - 30%,10 - 20%,5 - 10 años,10 - 15 años,JavaScript,"JavaScript, HTML / CSS, TypeScript, PHP",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupaba mas del 70% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,21600,0,12000,yo,yo,no,NULL,NULL,no,0,si,https://indeed.com,Medellin,Venezuela,1983,0,él (tradicionalmente se identifica como hombre),no,NULL,FullStack Developer,término indefinido,NULL,NULL,NULL,[0-1000],Indeed.com,Medellín,Venezuela,[36-40],NULL,21600,1800
8,6/17/2020 16:39:56,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,Software Engineer,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,Java,"JavaScript, C#, Swift, Kotlin, Objective-C",contratista internacional,"remoto (ocupaba mas del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),dólares,320,0,80,yo,yo,si - stock options,30000,350,no,0,si,https://linkedin.com,Bogota,Colombia,1989,1,él (tradicionalmente se identifica como hombre),no,NULL,Software Engineer,Contratista,NULL,[100-1000],[10k-100k],[0-1000],LinkedIn.com,Bogotá,Colombia,[31-35],NULL,320,26
9,6/17/2020 16:43:12,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Software Engineer,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,5 - 10 años,5 - 10 años,Java,"JavaScript, HTML / CSS, TypeScript",contrato a termino indefinido,presencial (ocupaba mas del 70% de su tiempo en una oficina),trabajo remoto,universitario,si,no,no,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,102000000,20000000,70000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,https://linkedin.com,Bogotá,Colombia,1992,0,él (tradicionalmente se identifica como hombre),no,NULL,Software Engineer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[26-30],NULL,27200,2266
10,6/17/2020 16:47:22,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,5 - 10,Desarrollador de Software,no,80 - 90%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,Ruby,Ruby,contrato a termino indefinido,presencial (ocupaba mas del 70% de su tiempo en una oficina),trabajo flexible,universitario,si,si,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,62400000,0,0,mi empleador,mi empleador,no,NULL,NULL,no,0,si,https://linkedin.com,Barranquilla,Colombia,1989,0,él (tradicionalmente se identifica como hombre),no,NULL,Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Barranquilla,Colombia,[31-35],NULL,16640,1386
11,6/17/2020 16:52:38,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,Software Engineer,no,80 - 90%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,2+ años,3 - 5 años,NULL,C++,contratista internacional,NULL,trabajo flexible,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),dólares,66000,0,57000,yo,yo,no,NULL,NULL,no,0,si,https://twitter.com,Ibagué,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,NULL,Software Engineer,Contratista,NULL,NULL,NULL,[0-1000],Twitter.com,Ibagué,Colombia,[21-25],NULL,66000,5500
12,6/17/2020 16:58:18,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,menos de 1,[redactado],no,10 - 20%,0 - 10%,30 - 40%,40 - 50%,menos de 1 año,3 - 5 años,NULL,"Python, PHP",contrato a termino indefinido,NULL,trabajo flexible,universitario,si,no,si,pregrado,Sí,https://www.freecodecamp.org/,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,51000000,12000000,25200000,yo,yo,no,NULL,NULL,no,0,si,http://colombia-dev.slack.com,Pereira,Colombia,1990,0,él (tradicionalmente se identifica como hombre),no,NULL,Developer,término indefinido,Freecodecamp.org,NULL,NULL,[0-1000],Colombia-dev.slack.com,Pereira,Colombia,[26-30],NULL,13600,1133
13,6/17/2020 16:59:01,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Senior Software Engineer,no,60 - 70%,0 - 10%,0 - 10%,0 - 10%,2+ años,5 - 10 años,Go,"JavaScript, Python, Ruby, Shell",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupa más del 70% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,140000000,360000000,78000000,mi empleador,mi empleador,si - rsus,200,80,no,0,si,https://greenhouse.com,Bogotá,Colombia,1991,0,él (tradicionalmente se identifica como hombre),no,NULL,Software Engineer,término indefinido,NULL,[10-100],[0-1000],[0-1000],https://greenhouse.com,Bogotá,Colombia,[26-30],NULL,37333,3111
